,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
0,Stephen Curry,PG,Golden State Warriors,48070014.0,45780966.0,43006362.0,40231758.0,37457154.0,37457154.0,12112359.0,11370786.0,10629213.0,9887642.0,3958742.0,3117120.0,2913840.0,2710560.0,,,,
1,Russell Westbrook,PG,Los Angeles Lakers,47063478.0,44211146.0,41358814.0,38506482.0,35654150.0,28530608.0,26540100.0,16744218.0,15719062.0,14693906.0,14693906.0,5082416.0,4017720.0,3755640.0,3493680.0,,,
2,LeBron James,SF,Los Angeles Lakers,44474988.0,41180544.0,39219565.0,37436858.0,35654150.0,,30963450.0,22970500.0,20644400.0,19067500.0,19067500.0,17545000.0,14500000.0,15779912.0,14410581.0,13041250.0,5828089.0,4621800.0
3,Kevin Durant,PF,Brooklyn Nets,44119845.0,42018900.0,40108950.0,38199000.0,30000000.0,,26540100.0,20158622.0,18995624.0,17832627.0,17832626.0,15506632.0,6053663.0,4796880.0,4484040.0,4171200.0,4171200.0,
4,Bradley Beal,SG,Washington Wizards,43279250.0,33724200.0,28751775.0,27093019.0,25434263.0,25434263.0,22116750.0,5694674.0,4505280.0,4319280.0,4319280.0,,,,,,,
5,Damian Lillard,PG,Portland Trail Blazers,42492492.0,39344900.0,31626953.0,29802321.0,27977689.0,26153057.0,24328425.0,4236287.0,3340920.0,3202920.0,3065040.0,,,,,,,
6,Giannis Antetokounmpo,PF,Milwaukee Bucks,42492492.0,39344970.0,27528090.0,25842697.0,24157303.0,24157303.0,2995421.0,1953960.0,1873200.0,1792560.0,,,,,,,,
7,Kawhi Leonard,SF,LA Clippers,42492492.0,39344900.0,34379100.0,32742000.0,23114067.0,18868626.0,17638063.0,16407500.0,2894059.0,1887840.0,1809840.0,1809840.0,,,,,,
8,Paul George,SG,LA Clippers,42492492.0,39344900.0,35450412.0,30560700.0,30560700.0,19508958.0,18314532.0,17120106.0,15937290.0,3282003.0,2574120.0,2406240.0,2238360.0,,,,,
9,Klay Thompson,SG,Golden State Warriors,40600080.0,37980720.0,35361360.0,32742000.0,18988725.0,17826150.0,16663575.0,15501000.0,3075880.0,2317920.0,2222160.0,2126520.0,,,,,,
10,Rudy Gobert,C,Minnesota Timberwolves,38172414.0,35344828.0,27525281.0,23241573.0,23241573.0,21924719.0,2121288.0,1175880.0,1127400.0,1078800.0,,,,,,,,
11,Anthony Davis,PF,Los Angeles Lakers,37980720.0,35361360.0,32742000.0,27093018.0,25434263.0,23775506.0,22116750.0,7070730.0,5607240.0,5375760.0,5144280.0,,,,,,,
12,Khris Middleton,SF,Milwaukee Bucks,37948276.0,35500000.0,33051724.0,30603448.0,13000000.0,1300000.0,15200000.0,14700000.0,915243.0,788872.0,473604.0,,,,,,,
13,Jimmy Butler,SF,Miami Heat,37653300.0,36016200.0,34379100.0,32742000.0,20445779.0,19301070.0,17552209.0,16407500.0,2008748.0,1112880.0,1112880.0,1020960.0,,,,,,
14,Tobias Harris,PF,Philadelphia 76ers,37633050.0,35995950.0,34358850.0,32742000.0,14800000.0,16000000.0,17200000.0,16000000.0,2380594.0,1545840.0,1545840.0,1418160.0,,,,,,
15,Zach LaVine,SG,Chicago Bulls,37096500.0,19500000.0,19500000.0,19500000.0,19500000.0,,2240880.0,2148360.0,2055840.0,,,,,,,,,
16,Luka Doncic,PG,Dallas Mavericks,37095000.0,10174391.0,8049360.0,7683360.0,6560640.0,,,,,,,,,,,,,
17,Trae Young,PG,Atlanta Hawks,37095000.0,8326471.0,6571800.0,6273000.0,5356440.0,,,,,,,,,,,,,
18,Kyrie Irving,PG,Brooklyn Nets,36934550.0,35328700.0,31742000.0,31742000.0,20099189.0,18868626.0,17638063.0,16407501.0,7070730.0,5607240.0,5375760.0,5144280.0,,,,,,
19,Pascal Siakam,PF,Toronto Raptors,35448672.0,33003936.0,30559200.0,2351839.0,1544951.0,1544951.0,1196040.0,,,,,,,,,,,
20,Ben Simmons,PG,Brooklyn Nets,35448672.0,33003936.0,30559200.0,8113930.0,6434520.0,6434520.0,5903160.0,,,,,,,,,,,
21,Kristaps Porzingis,C,Washington Wizards,33833400.0,31650600.0,29467800.0,27285000.0,5697054.0,5697054.0,4317720.0,4131720.0,,,,,,,,,,
22,Devin Booker,SG,Phoenix Suns,33833400.0,31650600.0,29467800.0,27285000.0,3314365.0,2319360.0,2223600.0,2127840.0,,,,,,,,,,
